Application:, Trigno Discover (2.0.1.3)
Date/Time:, 24-09-2025 10:38:32
Collection Length (seconds):, 5.8185
 Hamstrings left (85586), , TibilaisÂ Anterior right (85650), ,  Rectus Femoris left (85878), ,  Rectus Femoris right (85844), ,  Hamstrings right (85641), ,  Gastrocnemius right (85873), ,  Gastrocnemius left (85904), , TibilaisÂ Anterior left (85605)
sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0335172, -0.0139315, 0.0335172, -0.0129244, 0.0335172, -0.0095674, 0.0335172, 0.0182956, 0.0335172, -0.0260166, 0.0335172, -0.0028534, 0.0335172, -0.0310521, 0.0335172, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0339828, -0.0139315, 0.0339828, -0.0125887, 0.0339828, -0.008896, 0.0339828, 0.0186313, 0.0339828, -0.0243381, 0.0339828, -0.0018463, 0.0339828, -0.0310521, 0.0339828, -0.0162814, , , , , , , , , , , , , , , , , , , , , , 
0.0344483, -0.0127565, 0.0344483, -0.0104067, 0.0344483, -0.0082246, 0.0344483, 0.0196384, 0.0344483, -0.0256809, 0.0344483, -0.0008392, 0.0344483, -0.0315557, 0.0344483, -0.0176242, , , , , , , , , , , , , , , , , , , , , , 
0.0349138, -0.0115816, 0.0349138, -0.0119173, 0.0349138, -0.0072175, 0.0349138, 0.0206455, 0.0349138, -0.0273594, 0.0349138, -0.0001678, 0.0349138, -0.0313878, 0.0349138, -0.0193027, , , , , , , , , , , , , , , , , , , , , , 
0.0353793, -0.0115816, 0.0353793, -0.0142672, 0.0353793, -0.0082246, 0.0353793, 0.0206455, 0.0353793, -0.0273594, 0.0353793, -0.0001678, 0.0353793, -0.0303807, 0.0353793, -0.0191348, , , , , , , , , , , , , , , , , , , , , , 
0.0358448, -0.0115816, 0.0358448, -0.014435, 0.0358448, -0.0102388, 0.0358448, 0.0199741, 0.0358448, -0.0275273, 0.0358448, -0.0010071, 0.0358448, -0.0297093, 0.0358448, -0.0171206, , , , , , , , , , , , , , , , , , , , , , 
0.0363103, -0.0097353, 0.0363103, -0.0129244, 0.0363103, -0.0109102, 0.0363103, 0.0213169, 0.0363103, -0.027863, 0.0363103, -0.0018463, 0.0363103, -0.0290379, 0.0363103, -0.0149386, , , , , , , , , , , , , , , , , , , , , , 
0.0367759, -0.0072175, 0.0367759, -0.0115816, 0.0367759, -0.0115816, 0.0367759, 0.0206455, 0.0367759, -0.0297093, 0.0367759, -0.0025177, 0.0367759, -0.0297093, 0.0367759, -0.0151064, , , , , , , , , , , , , , , , , , , , , , 
0.0372414, -0.005539, 0.0372414, -0.0115816, 0.0372414, -0.0119173, 0.0372414, 0.0199741, 0.0372414, -0.0313878, 0.0372414, -0.0035248, 0.0372414, -0.0297093, 0.0372414, -0.0169528, , , , , , , , , , , , , , , , , , , , , , 
0.0377069, -0.0062104, 0.0377069, -0.0125887, 0.0377069, -0.012253, 0.0377069, 0.0199741, 0.0377069, -0.0323949, 0.0377069, -0.0038605, 0.0377069, -0.0293736, 0.0377069, -0.0182956, , , , , , , , , , , , , , , , , , , , , , 
