,Time,Rectus Femoris right,Rectus Femoris left,Hamstrings right,Hamstrings left,TibilaisÂ Anterior right,TibilaisÂ Anterior left,Gastrocnemius right,Gastrocnemius left
87,0.0405,-0.0726787,0.0119173,-0.1062486,-0.0176242,0.0951705,-0.0219883,0.9364309,-0.0260166
88,0.0409655,-0.0592508,0.0092317,-0.1109483,-0.0162814,0.054551,-0.0198062,1.0478828,-0.0198062
89,0.041431,-0.0424659,0.0099031,-0.1008774,-0.0169528,0.0223239,-0.0142672,1.1855192,-0.0105745
90,0.0418966,-0.030045,0.008896,-0.0741894,-0.018967,-0.0028534,-0.0062104,1.3278553,-0.0005035
91,0.0423621,-0.0287022,0.0018463,-0.0589151,-0.0216526,-0.03122,0.0003357,1.4523995,0.005539
92,0.0428276,-0.0293736,-0.0075532,-0.0683146,-0.0243381,-0.0647898,0.0045319,1.5430381,0.0041962
93,0.0432931,-0.024506,-0.01561,-0.082414,-0.0253452,-0.0944991,0.0063783,1.5883574,-0.0045319
94,0.0437586,-0.012253,-0.018967,-0.0866102,-0.0256809,-0.1079271,0.0072175,1.577615,-0.0151064
95,0.0442241,0.0015106,-0.0167849,-0.0887922,-0.0250095,-0.1143053,0.0082246,1.5004044,-0.0243381
96,0.0446897,0.0099031,-0.0135958,-0.0965133,-0.0250095,-0.1299153,0.0082246,1.3678035,-0.0317235
97,0.0451552,0.0129244,-0.012253,-0.10692,-0.0246738,-0.111284,0.0041962,1.1781338,-0.0381018
98,0.0456207,0.0112459,-0.0149386,-0.1284047,-0.023331,-0.0387732,-0.0028534,0.9381094,-0.0424659
99,0.0460862,0.0072175,-0.0193027,-0.1549248,-0.023331,0.0441444,-0.0072175,0.7128557,-0.0454871
100,0.0465517,0.0057069,-0.0224918,-0.1592889,-0.0223239,0.1200122,-0.0078889,0.5547417,-0.0458228
101,0.0470172,0.0095674,-0.0243381,-0.1431754,-0.0209812,0.193698,-0.0078889,0.4662852,-0.0424659
102,0.0474828,0.01561,-0.0263523,-0.139147,-0.0219883,0.25832,-0.0077211,0.4281834,-0.0364233
103,0.0479483,0.0219883,-0.0265202,-0.1599603,-0.0234989,0.3012894,-0.0072175,0.4221408,-0.0313878
104,0.0484138,0.0290379,-0.0263523,-0.1849699,-0.0219883,0.3227741,-0.0062104,0.427512,-0.0297093
105,0.0488793,0.0394446,-0.0251774,-0.1811093,-0.018967,0.3382162,-0.0015106,0.4268406,-0.023331
106,0.0493448,0.0538796,-0.023331,-0.1435111,-0.0162814,0.370779,0.0031891,0.4154269,-0.0105745
107,0.0498103,0.0661326,-0.0229953,-0.1092699,-0.0149386,0.4009918,0.0045319,0.3909209,-0.0075532
108,0.0502759,0.0716716,-0.0216526,-0.0975204,-0.0139315,0.3805142,-0.0005035,0.3501335,-0.0270237
109,0.0507414,0.0736858,-0.0162814,-0.0837568,-0.0135958,0.2757763,-0.008896,0.2885328,-0.057908
110,0.0512069,0.0770428,-0.0075532,-0.0594186,-0.0149386,0.0874495,-0.0157778,0.2015869,-0.082414
111,0.0516724,0.0809033,0.0025177,-0.0337377,-0.0176242,-0.1273976,-0.0193027,0.0904707,-0.0943313
112,0.0521379,0.0842603,0.0114137,-0.0117494,-0.0213169,-0.2952468,-0.0213169,-0.0337377,-0.0928206
113,0.0526034,0.0861067,0.0142672,0.0082246,-0.0236667,-0.4023346,-0.0206455,-0.160296,-0.0793927
114,0.053069,0.0844282,0.0070497,0.0283665,-0.0246738,-0.4706493,-0.018967,-0.2848402,-0.0619364
115,0.0535345,0.0787213,-0.0102388,0.0495155,-0.0256809,-0.5215076,-0.0223239,-0.4150912,-0.0486763
116,0.054,0.0669718,-0.0317235,0.0708324,-0.0256809,-0.5560845,-0.0330663,-0.5580987,-0.0441444
117,0.0544655,0.0548867,-0.0538796,0.0897993,-0.0243381,-0.5698482,-0.0436408,-0.7004349,-0.04448
118,0.054931,0.0491798,-0.0757,0.102388,-0.023331,-0.5668269,-0.04448,-0.8222934,-0.0453193
119,0.0553966,0.0498512,-0.0904707,0.1059129,-0.0216526,-0.5552453,-0.0357519,-0.9226673,-0.0471656
120,0.0558621,0.0522011,-0.0887922,0.1005417,-0.018967,-0.5413138,-0.0283665,-1.0183413,-0.0498512
