Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:01:37 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , Pair, E1, E2, T1, T2, V1, V2, Sensor, Channel, Units, Delta T, RMS, PKPK, Peak Value, TPK, Integral
0.0209483, -0.0243381, 0.0233654, 0.0209812, 0.6075, 68.7195129, 0.6075, 354.4512329, 0.6075, -290, 0.0209483, -0.0048676, 0.0209483, 0.0226596, 0.0209483, -0.0283665, 0.0209483, -0.0208133, 0.0209483, -0.0028534, 0.0209483, 0.0337377, , , , , , , , , , , , , , , , , , , , , , 
0.0214138, -0.0206455, 0.0238846, 0.026688, 0.621, 222.8048859, 0.621, 213.1707306, 0.621, -166.8292694, 0.0214138, -0.005539, 0.0214138, 0.0226596, 0.0214138, -0.0303807, 0.0214138, -0.0310521, 0.0214138, -0.0038605, 0.0214138, 0.087953, , , , , , , , , , , , , , , , , , , , , , 
0.0218793, -0.0169528, 0.0244038, 0.0320592, 0.6345, 305.2438965, 0.6345, -118.2926865, 0.6345, -86.5243912, 0.0218793, -0.0065461, 0.0218793, 0.0219883, 0.0218793, -0.0303807, 0.0218793, -0.0448157, 0.0218793, -0.0028534, 0.0218793, 0.0740215, , , , , , , , , , , , , , , , , , , , , , 
0.0223448, -0.0182956, 0.0249231, 0.0283665, 0.648, -27.3780499, 0.648, 173.1707306, 0.648, -57.3170738, 0.0223448, -0.0058747, 0.0223448, 0.0213169, 0.0223448, -0.0303807, 0.0223448, -0.0428016, 0.0223448, -0.0028534, 0.0223448, 0.002182, , , , , , , , , , , , , , , , , , , , , , 
0.0228103, -0.0246738, 0.0254423, 0.0169528, 0.6615, 1.402439, 0.6615, 61.341465, 0.6615, 51.9512215, 0.0228103, -0.0048676, 0.0228103, 0.0206455, 0.0228103, -0.0290379, 0.0228103, -0.0273594, 0.0228103, -0.0031891, 0.0228103, -0.0929885, , , , , , , , , , , , , , , , , , , , , , 
0.0232759, -0.0332341, 0.0259615, 0.0068818, 0.675, 148.1707306, 0.675, -79.2073212, 0.675, 39.2682953, 0.0232759, -0.005539, 0.0232759, 0.0204776, 0.0232759, -0.026688, 0.0232759, -0.0182956, 0.0232759, -0.0045319, 0.0232759, -0.163653, , , , , , , , , , , , , , , , , , , , , , 
0.0237414, -0.0377661, 0.0264808, -0.0010071, 0.6885, 236.9512177, 0.6885, -121.2195129, 0.6885, -74.1463394, 0.0237414, -0.0057069, 0.0237414, 0.0196384, 0.0237414, -0.0250095, 0.0237414, -0.018967, 0.0237414, -0.0048676, 0.0237414, -0.1567712, , , , , , , , , , , , , , , , , , , , , , 
0.0242069, -0.0357519, 0.027, -0.0068818, 0.702, 164.9390259, 0.702, -130.5487823, 0.702, -120.4878082, 0.0242069, -0.0048676, 0.0242069, 0.0199741, 0.0242069, -0.0236667, 0.0242069, -0.0236667, 0.0242069, -0.0046998, 0.0242069, -0.0626078, , , , , , , , , , , , , , , , , , , , , , 
0.0246724, -0.0307164, 0.0275192, -0.0095674, 0.7155, -3.1707318, 0.7155, -145.7926788, 0.7155, -22.439024, 0.0246724, -0.0030213, 0.0246724, 0.0219883, 0.0246724, -0.0238346, 0.0246724, -0.0276951, 0.0246724, -0.0048676, 0.0246724, 0.0508583, , , , , , , , , , , , , , , , , , , , , , 
0.0251379, -0.0283665, 0.0280385, -0.0092317, 0.729, 0.7317073, 0.729, -5.1829271, 0.729, 90.6707306, 0.0251379, -0.0036927, 0.0251379, 0.0218204, 0.0251379, -0.0273594, 0.0251379, -0.0360876, 0.0251379, -0.0048676, 0.0251379, 0.0965133, , , , , , , , , , , , , , , , , , , , , , 
