Application:, Trigno Discover (2.0.1.3)
Date/Time:, 9/18/2025 4:07:04 PM
Collection Length (seconds):, 4.995
Tibilais Anterior left (85586), , Gastrocnemius right (85650), , , , , , , , Rectus Femoris left (85878), , Rectus Femoris right (85844), , Hamstrings left (85904), , Tibilais Anterior right (85641), , Hamstrings right (85873), , Gastrocnemius left (85605)
sensor mode: 40, , sensor mode: 49, , , , , , , , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40, , sensor mode: 40
EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), GYRO X Time Series (s), GYRO X (deg/s), GYRO Y Time Series (s), GYRO Y (deg/s), GYRO Z Time Series (s), GYRO Z (deg/s), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV), EMG 1 Time Series (s), EMG 1 (mV)
, 2148.1481 Hz, , 1925.9259 Hz, , 74.0741 Hz, , 74.0741 Hz, , 74.0741 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz, , 2148.1481 Hz
, 0.00046551724137931035 s, , 0.0005192307692307692 s, , 0.0135 s, , 0.0135 s, , 0.0135 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , 0.00046551724137931035 s, , Type, Name, Label, Time (s), , 
0.0176897, -0.0119173, 0.0197308, 0.0105745, 0.513, 458.23172, 0.513, -71.4634171, 0.513, -250.6097565, 0.0176897, -0.005539, 0.0176897, 0.0119173, 0.0176897, -0.0135958, 0.0176897, -0.0238346, 0.0176897, -0.0166171, 0.0176897, 0.0011749, , , , , , , 
0.0181552, -0.0119173, 0.02025, 0.0058747, 0.5265, 427.6219482, 0.5265, -10.9146347, 0.5265, -268.23172, 0.0181552, -0.0058747, 0.0181552, 0.0119173, 0.0181552, -0.0186313, 0.0181552, -0.0246738, 0.0181552, -0.012253, 0.0181552, 0.0146029, , , , , , , 
0.0186207, -0.0112459, 0.0207692, 0.0052033, 0.54, 291.3414612, 0.54, 42.8048782, 0.54, -274.8780518, 0.0186207, -0.0048676, 0.0186207, 0.014435, 0.0186207, -0.0231632, 0.0186207, -0.023331, 0.0186207, -0.0102388, 0.0186207, 0.0196384, , , , , , , 
0.0190862, -0.0125887, 0.0212885, 0.0008392, 0.5535, 232.5609741, 0.5535, -10.4268293, 0.5535, -117.5, 0.0190862, -0.0048676, 0.0190862, 0.0172885, 0.0190862, -0.0280308, 0.0190862, -0.0218204, 0.0190862, -0.0115816, 0.0190862, 0.0129244, , , , , , , 
0.0195517, -0.0129244, 0.0218077, -0.0129244, 0.567, 202.1951294, 0.567, 71.1585388, 0.567, 29.0243912, 0.0195517, -0.005539, 0.0195517, 0.018967, 0.0195517, -0.03122, 0.0195517, -0.0229953, 0.0195517, -0.0129244, 0.0195517, 0.0003357, , , , , , , 
0.0200172, -0.0129244, 0.0223269, -0.0196384, 0.5805, 102.3170776, 0.5805, 371.7073364, 0.5805, 93.2317123, 0.0200172, -0.0062104, 0.0200172, 0.0199741, 0.0200172, -0.033402, 0.0200172, -0.0256809, 0.0200172, -0.0105745, 0.0200172, -0.0070497, , , , , , , 
0.0204828, -0.0129244, 0.0228462, -0.0159457, 0.594, 38.5975609, 0.594, 597.1951294, 0.594, 150.6097565, 0.0204828, -0.0072175, 0.0204828, 0.0209812, 0.0204828, -0.0377661, 0.0204828, -0.0276951, 0.0204828, -0.0041962, 0.0204828, -0.0048676, , , , , , , 
0.0209483, -0.0129244, 0.0233654, -0.0102388, 0.6075, 123.5975647, 0.6075, 430.6097717, 0.6075, 137.6219482, 0.0209483, -0.0085603, 0.0209483, 0.0209812, 0.0209483, -0.0464942, 0.0209483, -0.0280308, 0.0209483, 0.0043641, 0.0209483, 0.0011749, , , , , , , 
0.0214138, -0.0125887, 0.0238846, -0.0058747, 0.621, -69.7560959, 0.621, 42.8658562, 0.621, 123.3536606, 0.0214138, -0.0099031, 0.0214138, 0.0216526, 0.0214138, -0.0522011, 0.0214138, -0.0290379, 0.0214138, 0.0137636, 0.0214138, 0.0095674, , , , , , , 
0.0218793, -0.0142672, 0.0244038, -0.0008392, 0.6345, -367.1951294, 0.6345, -654.2683105, 0.6345, 182.8048859, 0.0218793, -0.0109102, 0.0218793, 0.0240024, 0.0218793, -0.0485084, 0.0218793, -0.0298772, 0.0218793, 0.0213169, 0.0218793, 0.0176242, , , , , , , 
0.0223448, -0.0166171, 0.0249231, 0.0109102, 0.648, -712.5, 0.648, -640.7317505, 0.648, 316.1585388, 0.0223448, -0.0112459, 0.0223448, 0.0253452, 0.0223448, -0.0404517, 0.0223448, -0.0302129, 0.0223448, 0.024506, 0.0223448, 0.012253, , , , , , , 
